Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out1_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
106,106,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
107,107,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
108,108,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
109,109,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
110,110,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
111,111,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
112,112,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
113,113,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
114,114,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
115,115,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
116,116,0,0,000000000000000000000000000110000000000000000000000000000001100000000000000000000000000000011000
117,117,0,0,000000000000000000000000000101000000000000000000000000000001010000000000000000000000000000010100
118,118,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
119,119,0,0,000000000000000000000000000111000000000000000000000000000001110000000000000000000000000000011100
120,120,0,0,000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000
121,121,0,0,000000000000000000000000001000100000000000000000000000000010001000000000000000000000000000100010
122,122,0,0,000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000
123,123,0,0,000000000000000000000000001011100000000000000000000000000010111000000000000000000000000000101110
124,124,0,0,000000000000000000000000000111000000000000000000000000000001110000000000000000000000000000011100
125,125,0,0,000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000
126,126,0,0,000000000000000000000000000111100000000000000000000000000001111000000000000000000000000000011110
127,127,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
128,128,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
