Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out2_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
149,149,0,0,000000000000000000000000001100000000000000000000000000000111000100000000000000000000000000011011
150,150,0,0,000000000000000000000000001110010000000000000000000000000111000000000000000000000000000000011011
151,151,0,0,000000000000000000000000001110010000000000000000000000000111000000000000000000000000000000011011
152,152,0,0,000000000000000000000000001110010000000000000000000000000111000000000000000000000000000000011011
153,153,0,0,000000000000000000000000001110010000000000000000000000000111000000000000000000000000000000011011
154,154,0,0,000000000000000000000000001110010000000000000000000000000111000000000000000000000000000000000000
155,155,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
156,156,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
157,157,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
158,158,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
159,159,0,0,000000000000000000000000001111000000000000000000000000000111001100000000000000000000000000000000
160,160,0,0,000000000000000000000000010010100000000000000000000000000111001000000000000000000000000000000000
161,161,0,0,000000000000000000000000010010100000000000000000000000000111001000000000000000000000000000000000
162,162,0,0,000000000000000000000000010010100000000000000000000000000111001000000000000000000000000000000000
163,163,0,0,000000000000000000000000010010100000000000000000000000000111001000000000000000000000000000000000
164,164,0,0,000000000000000000000000010010100000000000000000000000000111001000000000000000000000000000000000
165,165,0,0,000000000000000000000000010011010000000000000000000000000111010100000000000000000000000000000000
166,166,0,0,000000000000000000000000010011010000000000000000000000000111010100000000000000000000000000000000
167,167,0,0,000000000000000000000000010011010000000000000000000000000111010100000000000000000000000000000000
168,168,0,0,000000000000000000000000010011010000000000000000000000000111010100000000000000000000000000000000
169,169,0,0,000000000000000000000000010011010000000000000000000000000111010100000000000000000000000000000000
170,170,0,0,000000000000000000000000010101000000000000000000000000000111011100000000000000000000000000000000
171,171,0,0,000000000000000000000000010101000000000000000000000000000111011100000000000000000000000000000000
172,172,0,0,000000000000000000000000010101000000000000000000000000000111011100000000000000000000000000000000
173,173,0,0,000000000000000000000000010101000000000000000000000000000111011100000000000000000000000000000000
174,174,0,0,000000000000000000000000010101000000000000000000000000000111011100000000000000000000000000000000
175,175,0,0,000000000000000000000000010101100000000000000000000000000111100100000000000000000000000000000000
176,176,0,0,000000000000000000000000010101100000000000000000000000000111100100000000000000000000000000000000
177,177,0,0,000000000000000000000000010101100000000000000000000000000111100100000000000000000000000000000000
178,178,0,0,000000000000000000000000010101100000000000000000000000000111100100000000000000000000000000000000
179,179,0,0,000000000000000000000000010101100000000000000000000000000111100100000000000000000000000000000000
180,180,0,0,000000000000000000000000010101110000000000000000000000000111101000000000000000000000000000000000
181,181,0,0,000000000000000000000000010101110000000000000000000000000111101000000000000000000000000000000000
182,182,0,0,000000000000000000000000010101110000000000000000000000000111101000000000000000000000000000000000
183,183,0,0,000000000000000000000000010101110000000000000000000000000111101000000000000000000000000000000000
184,184,0,0,000000000000000000000000010101110000000000000000000000000111101000000000000000000000000000000000
185,185,0,0,000000000000000000000000010011000000000000000000000000000111100100000000000000000000000000000000
186,186,0,0,000000000000000000000000010011000000000000000000000000000111100100000000000000000000000000000000
187,187,0,0,000000000000000000000000010011000000000000000000000000000111100100000000000000000000000000000000
188,188,0,0,000000000000000000000000010011000000000000000000000000000111100100000000000000000000000000000000
189,189,0,0,000000000000000000000000010011000000000000000000000000000111100100000000000000000000000000000000
190,190,0,0,000000000000000000000000010110110000000000000000000000000111111000000000000000000000000000000000
191,191,0,0,000000000000000000000000010110110000000000000000000000000111111000000000000000000000000000000000
192,192,0,0,000000000000000000000000010110110000000000000000000000000111111000000000000000000000000000000000
193,193,0,0,000000000000000000000000010110110000000000000000000000000111111000000000000000000000000000000000
194,194,0,0,000000000000000000000000010110110000000000000000000000000111111000000000000000000000000000000000
195,195,0,0,000000000000000000000000010010110000000000000000000000000111110100000000000000000000000000000000
196,196,0,0,000000000000000000000000010010110000000000000000000000000111110100000000000000000000000000000000
197,197,0,0,000000000000000000000000010010110000000000000000000000000111110100000000000000000000000000000000
198,198,0,0,000000000000000000000000010010110000000000000000000000000111110100000000000000000000000000000000
199,199,0,0,000000000000000000000000010010110000000000000000000000000111110100000000000000000000000000000000
200,200,0,0,000000000000000000000000010011000000000000000000000000000111111000000000000000000000000000000000
201,201,0,0,000000000000000000000000010011000000000000000000000000000111111000000000000000000000000000000000
202,202,0,0,000000000000000000000000010011000000000000000000000000000111111000000000000000000000000000000000
203,203,0,0,000000000000000000000000010011000000000000000000000000000111111000000000000000000000000000000000
204,204,0,0,000000000000000000000000010011000000000000000000000000000111111000000000000000000000000000001010
205,205,0,0,000000000000000000000000010010110000000000000000000000001000001000000000000000000000000000001010
206,206,0,0,000000000000000000000000010010110000000000000000000000001000001000000000000000000000000000001010
207,207,0,0,000000000000000000000000010010110000000000000000000000001000001000000000000000000000000000001010
208,208,0,0,000000000000000000000000010010110000000000000000000000001000001000000000000000000000000000001010
209,209,0,0,000000000000000000000000010010110000000000000000000000001000001000000000000000000000000000001111
210,210,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000001111
211,211,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000001111
212,212,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000001111
213,213,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000001111
214,214,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000011001
215,215,0,0,000000000000000000000000010001100000000000000000000000001000011100000000000000000000000000011001
216,216,0,0,000000000000000000000000010001100000000000000000000000001000011100000000000000000000000000011001
217,217,0,0,000000000000000000000000010001100000000000000000000000001000011100000000000000000000000000011001
218,218,0,0,000000000000000000000000010001100000000000000000000000001000011100000000000000000000000000011001
219,219,0,0,000000000000000000000000010001100000000000000000000000001000011100000000000000000000000000011000
220,220,0,0,000000000000000000000000010001010000000000000000000000001000011000000000000000000000000000011000
221,221,0,0,000000000000000000000000010001010000000000000000000000001000011000000000000000000000000000011000
222,222,0,0,000000000000000000000000010001010000000000000000000000001000011000000000000000000000000000011000
223,223,0,0,000000000000000000000000010001010000000000000000000000001000011000000000000000000000000000011000
224,224,0,0,000000000000000000000000010001010000000000000000000000001000011000000000000000000000000000010111
225,225,0,0,000000000000000000000000010001000000000000000000000000001000010100000000000000000000000000010111
226,226,0,0,000000000000000000000000010001000000000000000000000000001000010100000000000000000000000000010111
227,227,0,0,000000000000000000000000010001000000000000000000000000001000010100000000000000000000000000010111
228,228,0,0,000000000000000000000000010001000000000000000000000000001000010100000000000000000000000000010111
229,229,0,0,000000000000000000000000010001000000000000000000000000001000010100000000000000000000000000010010
230,230,0,0,000000000000000000000000010010010000000000000000000000001000010100000000000000000000000000010010
231,231,0,0,000000000000000000000000010010010000000000000000000000001000010100000000000000000000000000010010
232,232,0,0,000000000000000000000000010010010000000000000000000000001000010100000000000000000000000000010010
233,233,0,0,000000000000000000000000010010010000000000000000000000001000010100000000000000000000000000010010
234,234,0,0,000000000000000000000000010010010000000000000000000000001000010100000000000000000000000000010011
235,235,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000010011
236,236,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000010011
237,237,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000010011
238,238,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000010011
239,239,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000001110
240,240,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000001110
241,241,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000001110
242,242,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000001110
243,243,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000001110
244,244,0,0,000000000000000000000000010010100000000000000000000000001000011000000000000000000000000000000000
245,245,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000000000
246,246,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000000000
247,247,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000000000
248,248,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000000000
249,249,0,0,000000000000000000000000010001100000000000000000000000001000001000000000000000000000000000000000
250,250,0,0,000000000000000000000000010000100000000000000000000000000111111000000000000000000000000000000000
251,251,0,0,000000000000000000000000010000100000000000000000000000000111111000000000000000000000000000000000
252,252,0,0,000000000000000000000000010000100000000000000000000000000111111000000000000000000000000000000000
253,253,0,0,000000000000000000000000010000100000000000000000000000000111111000000000000000000000000000000000
254,254,0,0,000000000000000000000000010000100000000000000000000000000111111000000000000000000000000000000000
